2024-03-07 01:18:43,301 INFO    Thread-37 :13354 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-07 01:18:43,302 INFO    Thread-37 :13354 [wandb_setup.py:_flush():76] Configure stats pid to 13354
2024-03-07 01:18:43,302 INFO    Thread-37 :13354 [wandb_setup.py:_flush():76] Loading settings from /home2/surya_ravindra/.config/wandb/settings
2024-03-07 01:18:43,302 INFO    Thread-37 :13354 [wandb_setup.py:_flush():76] Loading settings from /home2/surya_ravindra/CV_A2/wandb/settings
2024-03-07 01:18:43,302 INFO    Thread-37 :13354 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'CV_A1_Q2', 'entity': 'sriharib128', 'root_dir': '/home2/surya_ravindra/CV_A2', 'run_id': 'brswgbiz', 'sweep_param_path': '/home2/surya_ravindra/CV_A2/wandb/sweep-n7e1nyy7/config-brswgbiz.yaml', 'sweep_id': 'n7e1nyy7'}
2024-03-07 01:18:43,302 INFO    Thread-37 :13354 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-07 01:18:43,302 INFO    Thread-37 :13354 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-03-07 01:18:43,302 INFO    Thread-37 :13354 [wandb_init.py:_log_setup():526] Logging user logs to /home2/surya_ravindra/CV_A2/wandb/run-20240307_011843-brswgbiz/logs/debug.log
2024-03-07 01:18:43,302 INFO    Thread-37 :13354 [wandb_init.py:_log_setup():527] Logging internal logs to /home2/surya_ravindra/CV_A2/wandb/run-20240307_011843-brswgbiz/logs/debug-internal.log
2024-03-07 01:18:43,302 INFO    Thread-37 :13354 [wandb_init.py:_jupyter_setup():472] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x14d16092c490>
2024-03-07 01:18:43,303 INFO    Thread-37 :13354 [wandb_init.py:init():566] calling init triggers
2024-03-07 01:18:43,303 INFO    Thread-37 :13354 [wandb_init.py:init():573] wandb.init called with sweep_config: {'batch_size': 128, 'epochs': 1, 'learning_rate': 0.1, 'optimizer': 'sgd'}
config: {}
2024-03-07 01:18:43,303 INFO    Thread-37 :13354 [wandb_init.py:init():616] starting backend
2024-03-07 01:18:43,303 INFO    Thread-37 :13354 [wandb_init.py:init():620] setting up manager
2024-03-07 01:18:43,316 INFO    Thread-37 :13354 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-07 01:18:43,317 INFO    Thread-37 :13354 [wandb_init.py:init():628] backend started and connected
2024-03-07 01:18:43,354 INFO    Thread-37 :13354 [wandb_run.py:_config_callback():1343] config_cb None None {'batch_size': 128, 'epochs': 1, 'learning_rate': 0.1, 'optimizer': 'sgd'}
2024-03-07 01:18:43,361 INFO    Thread-37 :13354 [wandb_run.py:_label_probe_notebook():1295] probe notebook
2024-03-07 01:18:43,361 INFO    Thread-37 :13354 [wandb_run.py:_label_probe_notebook():1305] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-03-07 01:18:43,362 INFO    Thread-37 :13354 [wandb_init.py:init():720] updated telemetry
2024-03-07 01:18:43,511 INFO    Thread-37 :13354 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-07 01:18:44,561 INFO    Thread-37 :13354 [wandb_run.py:_on_init():2262] communicating current version
2024-03-07 01:18:44,805 INFO    Thread-37 :13354 [wandb_run.py:_on_init():2271] got version response 
2024-03-07 01:18:44,805 INFO    Thread-37 :13354 [wandb_init.py:init():804] starting run threads in backend
2024-03-07 01:18:49,860 INFO    Thread-37 :13354 [wandb_run.py:_console_start():2241] atexit reg
2024-03-07 01:18:49,861 INFO    Thread-37 :13354 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-07 01:18:49,861 INFO    Thread-37 :13354 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-07 01:18:49,861 INFO    Thread-37 :13354 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-07 01:18:49,862 INFO    Thread-37 :13354 [wandb_init.py:init():847] run started, returning control to user process
2024-03-07 01:19:06,259 INFO    Thread-37 :13354 [wandb_run.py:_finish():1970] finishing run sriharib128/CV_A1_Q2/brswgbiz
2024-03-07 01:19:06,260 INFO    Thread-37 :13354 [jupyter.py:save_history():445] not saving jupyter history
2024-03-07 01:19:06,260 INFO    Thread-37 :13354 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-03-07 01:19:06,260 INFO    Thread-37 :13354 [wandb_init.py:_jupyter_teardown():454] cleaning up jupyter logic
2024-03-07 01:19:06,260 INFO    Thread-37 :13354 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-03-07 01:19:06,260 INFO    Thread-37 :13354 [wandb_run.py:_restore():2193] restore
2024-03-07 01:19:06,261 INFO    Thread-37 :13354 [wandb_run.py:_restore():2199] restore done
2024-03-07 01:19:13,585 INFO    Thread-37 :13354 [wandb_run.py:_footer_history_summary_info():3851] rendering history
2024-03-07 01:19:13,585 INFO    Thread-37 :13354 [wandb_run.py:_footer_history_summary_info():3883] rendering summary
2024-03-07 01:19:13,596 INFO    Thread-37 :13354 [wandb_run.py:_footer_sync_info():3810] logging synced files
